Subject,Start Date,End Date,Start Time,End Time,Location,Description
type brut,09/06/2018,09/06/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/07/2018,09/07/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
type brut,09/07/2018,09/07/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/07/2018,09/07/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
type brut,09/08/2018,09/08/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Dauerausstellung ""ES WAR EINMAL ...""",09/08/2018,09/08/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
Nachts im Naturpark Eichenhain,09/08/2018,09/08/2018,18:30,21:30,Naturpark Eichenhain - Windischhütte,http://www.klosterneuburg.at/Nachts_im_Naturpark_Eichenhain_10
"Sonderausstellung ""Aus Großelterns Zeiten""",09/08/2018,09/08/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
Kinderflohmarkt,09/08/2018,09/08/2018,13:00,17:00,Aupark,http://www.klosterneuburg.at/de/Kinderflohmarkt_1
type brut,09/09/2018,09/09/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/09/2018,09/09/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
"Dauerausstellung ""ES WAR EINMAL ...""",09/09/2018,09/09/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
"Dauerausstellung ""ES WAR EINMAL ...""",09/10/2018,09/10/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Dauerausstellung_ES_WAR_EINMAL_DAS_WERDEN_DER_STADT_KLOSTERNEUBURG_3
type brut,09/10/2018,09/10/2018,10:00,18:00,galerie gugging,http://www.klosterneuburg.at/type_brut_2
"Sonderausstellung ""Aus Großelterns Zeiten""",09/10/2018,09/10/2018,00:01,23:59,Stadtmuseum,http://www.klosterneuburg.at/Sonderausstellung_Aus_Grosselterns_Zeiten_4
